msoa,black_count,population
E02000001,232,8584
E02000002,1737,8282
E02000003,1800,11538
E02000004,946,6642
E02000005,1957,11081
E02000007,2654,10164
E02000008,2560,13254
E02000009,2941,12864
E02000010,1886,9486
E02000011,1402,7029
E02000012,1030,11510
E02000013,1933,9399
E02000014,1868,9864
E02000015,2527,8228
E02000016,2816,10568
E02000017,1083,9134
E02000018,1962,9552
E02000019,2201,9661
E02000020,3446,14054
E02000021,2483,8763
E02000022,2616,7737
E02000023,2980,8017
E02000024,525,10839
E02000025,633,8580
E02000026,268,6459
E02000027,995,9648
E02000028,448,6536
E02000029,622,9677
E02000030,494,9460
E02000031,330,8332
E02000032,285,7938
E02000033,580,8893
E02000034,511,9089
E02000035,380,8532
E02000036,1166,11244
E02000037,776,10837
E02000038,782,10718
E02000039,545,7168
E02000040,860,9140
E02000041,808,9454
E02000042,589,11559
E02000043,256,7571
E02000044,1303,8842
E02000045,1059,10524
E02000046,243,6964
E02000047,2006,12397
E02000048,728,10280
E02000049,2490,10532
E02000050,869,10375
E02000051,509,9158
E02000052,591,9850
E02000054,615,7627
E02000055,896,11726
E02000056,232,9131
E02000057,344,8018
E02000058,383,10228
E02000059,1138,11627
E02000060,340,11559
E02000061,292,8346
E02000062,965,6960
E02000063,696,7582
E02000064,863,6678
E02000065,4017,8061
E02000066,3556,9430
E02000067,2296,10224
E02000068,2224,8176
E02000069,1382,7214
E02000070,773,8112
E02000071,793,7672
E02000072,4066,12925
E02000073,691,10725
E02000074,1586,8859
E02000075,370,7983
E02000077,535,8139
E02000078,603,7930
E02000079,462,8769
E02000080,742,10062
E02000081,552,8307
E02000082,575,9334
E02000083,1146,11269
E02000084,513,11109
E02000085,345,7964
E02000086,178,7180
E02000087,293,8209
E02000088,217,7749
E02000089,192,7869
E02000090,317,9640
E02000091,475,10164
E02000092,649,6753
E02000093,991,11875
E02000094,1326,10460
E02000095,797,10457
E02000096,253,7631
E02000097,1026,9532
E02000098,1180,8745
E02000099,1053,9564
E02000100,623,8319
E02000101,2169,9940
E02000102,1869,8331
E02000103,2128,9977
E02000104,912,7503
E02000105,1305,9844
E02000106,1964,10351
E02000107,1379,10939
E02000108,1046,7260
E02000110,1053,8176
E02000111,1147,11283
E02000112,1631,11750
E02000113,4318,9632
E02000114,1320,8993
E02000115,1241,8620
E02000116,1815,8547
E02000117,5181,12735
E02000118,1309,11295
E02000119,4494,10623
E02000120,1290,9017
E02000121,1309,12241
E02000122,806,8180
E02000123,4160,13581
E02000124,1151,9955
E02000125,1660,9939
E02000126,2941,8194
E02000127,1175,9328
E02000128,388,7789
E02000130,1180,8429
E02000131,1951,10486
E02000132,936,9835
E02000133,402,10758
E02000134,990,11751
E02000135,2663,9872
E02000136,355,5745
E02000137,530,8399
E02000138,416,8502
E02000139,619,7715
E02000140,1017,8681
E02000141,1197,7229
E02000142,478,8815
E02000144,606,10069
E02000145,1435,8824
E02000146,561,9703
E02000147,316,8192
E02000148,260,6721
E02000149,544,8167
E02000150,627,8514
E02000151,146,7544
E02000152,716,7966
E02000153,247,8107
E02000154,352,8527
E02000155,459,7156
E02000156,494,12294
E02000157,214,8367
E02000158,752,7787
E02000159,204,7113
E02000160,225,8108
E02000161,252,8702
E02000162,291,7121
E02000163,164,7716
E02000165,193,7171
E02000166,554,7746
E02000167,162,7200
E02000168,516,7814
E02000169,234,7176
E02000170,409,7914
E02000171,452,7393
E02000172,1362,9997
E02000173,239,7495
E02000174,918,8086
E02000175,680,9081
E02000176,142,5916
E02000177,1070,8489
E02000178,1049,8905
E02000179,590,5751
E02000180,911,7881
E02000181,387,8079
E02000182,536,7117
E02000183,521,7593
E02000184,1078,8904
E02000185,1427,8886
E02000186,607,6224
E02000187,1561,9786
E02000188,1039,7178
E02000191,268,5339
E02000192,721,6657
E02000193,348,5961
E02000194,1854,9210
E02000195,1940,9645
E02000196,1946,7918
E02000197,2256,9025
E02000198,3350,8888
E02000199,3333,8416
E02000200,2778,9049
E02000201,3291,8693
E02000202,2934,8931
E02000203,3164,7967
E02000204,2908,9655
E02000206,4021,10817
E02000207,2978,8898
E02000208,3811,10863
E02000209,2312,9067
E02000210,2174,8712
E02000211,1107,8277
E02000212,2601,9461
E02000213,4198,12798
E02000214,968,6233
E02000215,2448,11825
E02000216,881,7160
E02000217,2955,11926
E02000218,1779,6671
E02000219,815,7627
E02000221,2709,10855
E02000222,1202,8350
E02000223,3047,8531
E02000224,1319,8055
E02000225,1663,7498
E02000226,686,7618
E02000227,1613,11680
E02000228,429,7956
E02000229,1464,6234
E02000230,1285,10504
E02000231,674,7930
E02000232,416,6197
E02000233,710,6360
E02000234,1213,9454
E02000235,563,6893
E02000236,826,9129
E02000237,503,7605
E02000238,1393,10705
E02000239,727,9044
E02000240,1832,11208
E02000241,968,7393
E02000242,485,6888
E02000243,1046,8722
E02000244,642,7889
E02000245,1927,9310
E02000246,1762,9462
E02000247,1817,11154
E02000248,448,7716
E02000249,1070,8381
E02000250,260,6480
E02000251,750,8312
E02000252,1928,12240
E02000253,1807,10343
E02000254,494,9208
E02000255,1337,9862
E02000256,505,9186
E02000258,593,6900
E02000259,571,6585
E02000260,644,9833
E02000261,1720,12650
E02000262,1067,9348
E02000263,981,13704
E02000264,567,8491
E02000265,1271,11231
E02000266,2864,13117
E02000267,823,8150
E02000268,613,9248
E02000269,353,8172
E02000270,1859,9608
E02000271,324,6950
E02000272,364,6714
E02000275,619,8169
E02000276,475,6762
E02000277,1859,7522
E02000278,2274,9426
E02000279,3780,12315
E02000280,794,8633
E02000281,1660,9653
E02000282,2818,9952
E02000283,1991,8539
E02000284,808,8741
E02000285,467,6642
E02000286,607,8689
E02000287,334,7352
E02000288,3787,12784
E02000289,376,6774
E02000290,1979,6681
E02000291,1458,10161
E02000292,1542,9837
E02000293,326,6393
E02000294,2668,9369
E02000295,576,8694
E02000296,644,10343
E02000297,755,9398
E02000298,303,8253
E02000299,3046,9499
E02000300,2447,8854
E02000301,3440,10223
E02000302,1027,8667
E02000303,2221,8363
E02000304,303,8047
E02000305,562,8878
E02000306,3348,9135
E02000307,2017,10112
E02000308,976,8760
E02000309,3992,11794
E02000311,1385,10544
E02000312,975,11302
E02000313,2825,6490
E02000314,6195,14105
E02000315,3699,9871
E02000317,2417,7560
E02000318,2582,11062
E02000319,2839,10619
E02000320,1982,7042
E02000321,2378,7720
E02000323,3972,12859
E02000324,1782,7869
E02000326,1175,7793
E02000327,2269,6626
E02000328,527,6513
E02000329,1151,6334
E02000331,1532,8236
E02000332,1506,7453
E02000333,358,6246
E02000334,1156,6640
E02000335,328,6675
E02000337,1014,8470
E02000339,305,6289
E02000340,508,6863
E02000341,1333,7993
E02000342,658,6350
E02000343,815,7046
E02000344,512,6430
E02000345,578,8196
E02000346,2415,9398
E02000347,931,8150
E02000348,1314,8105
E02000350,1246,10236
E02000351,1187,9287
E02000352,1014,6752
E02000353,954,7764
E02000354,2542,9609
E02000355,1450,8194
E02000356,750,7033
E02000357,3104,6847
E02000358,2162,11088
E02000359,1530,6698
E02000360,3657,11509
E02000361,1743,8062
E02000362,1925,6960
E02000363,4438,11883
E02000364,2058,9217
E02000366,1946,8329
E02000367,1869,10418
E02000368,2823,9923
E02000369,2981,13456
E02000370,1938,8858
E02000372,1859,9982
E02000373,2523,7037
E02000374,1216,6913
E02000375,1409,7483
E02000376,1044,6705
E02000377,1247,7795
E02000378,723,6435
E02000379,891,7389
E02000380,480,5507
E02000381,689,7631
E02000382,543,6194
E02000383,750,8463
E02000384,1147,8265
E02000385,374,5614
E02000386,1418,7583
E02000387,850,6024
E02000388,738,8661
E02000389,428,8640
E02000390,533,6197
E02000391,494,7589
E02000392,887,9229
E02000393,289,5981
E02000394,1045,9285
E02000395,208,5680
E02000396,670,6897
E02000397,1063,7911
E02000398,2849,7514
E02000400,1398,7985
E02000401,1646,6858
E02000402,1918,6473
E02000403,851,7511
E02000404,1212,7112
E02000405,374,6477
E02000406,1101,6737
E02000407,2457,7601
E02000408,2799,8253
E02000409,1676,6069
E02000410,230,6417
E02000411,3056,11427
E02000412,1561,7323
E02000413,493,7764
E02000414,1635,7079
E02000415,981,7247
E02000416,1278,8451
E02000417,278,6558
E02000418,263,5429
E02000419,893,8738
E02000420,1787,7989
E02000421,2735,8511
E02000422,1719,7455
E02000423,723,6908
E02000424,758,6754
E02000425,936,8169
E02000426,365,6491
E02000427,651,6623
E02000428,1972,8434
E02000429,359,6796
E02000430,439,6920
E02000431,210,5847
E02000432,686,6120
E02000433,480,8602
E02000434,713,9851
E02000435,660,8189
E02000436,208,5754
E02000437,738,8760
E02000438,955,8548
E02000439,868,9268
E02000440,418,9608
E02000441,569,7483
E02000442,423,9585
E02000443,1256,10751
E02000444,378,8714
E02000445,1251,11774
E02000447,526,8190
E02000448,290,7074
E02000449,482,8297
E02000451,222,6707
E02000452,645,9504
E02000453,557,8384
E02000454,182,7338
E02000455,816,11669
E02000456,813,7824
E02000457,475,7060
E02000459,986,9321
E02000460,933,7309
E02000461,484,7287
E02000462,624,6983
E02000463,968,8705
E02000464,828,7756
E02000465,1025,9345
E02000466,781,9065
E02000467,1876,11458
E02000468,764,8647
E02000469,963,7285
E02000470,599,9786
E02000471,380,7823
E02000472,579,9475
E02000473,639,10494
E02000474,861,9188
E02000475,581,9613
E02000476,962,9364
E02000477,304,9534
E02000478,268,5989
E02000479,884,9450
E02000480,1877,13840
E02000481,272,8236
E02000482,99,6589
E02000483,343,8003
E02000484,544,8488
E02000485,361,8477
E02000486,372,7355
E02000487,89,7913
E02000488,287,7578
E02000489,749,8634
E02000490,985,8469
E02000491,1690,10636
E02000492,594,6833
E02000493,1001,6741
E02000494,292,7952
E02000495,520,10419
E02000496,212,7803
E02000497,439,9521
E02000498,165,6377
E02000499,180,7727
E02000500,172,8280
E02000501,292,8474
E02000502,407,8931
E02000503,294,8690
E02000504,120,7644
E02000506,233,7964
E02000507,461,8243
E02000508,926,11950
E02000509,1031,10558
E02000510,556,9114
E02000511,838,9934
E02000512,1011,8823
E02000513,1638,9760
E02000514,999,10673
E02000515,1485,13292
E02000516,908,8646
E02000517,1494,10473
E02000518,982,9632
E02000519,1317,9554
E02000520,1762,14063
E02000521,1425,13191
E02000522,857,9579
E02000523,970,11372
E02000524,434,7533
E02000525,1002,10064
E02000526,472,8640
E02000529,712,9718
E02000530,1277,8116
E02000531,985,11581
E02000532,450,8975
E02000533,426,8400
E02000534,467,8554
E02000535,391,10052
E02000536,570,10841
E02000537,295,9845
E02000538,536,10109
E02000539,913,12224
E02000540,953,12118
E02000541,726,10619
E02000542,813,12304
E02000543,732,14005
E02000544,319,8564
E02000545,1262,9238
E02000546,610,10427
E02000547,917,11002
E02000548,1003,10577
E02000549,681,12535
E02000550,1012,10713
E02000551,997,9754
E02000552,723,9262
E02000553,563,7114
E02000554,1804,9356
E02000555,1332,9571
E02000556,1437,11393
E02000557,1149,8781
E02000558,2594,9429
E02000559,1358,9583
E02000560,872,7354
E02000561,625,7384
E02000562,946,7865
E02000563,1378,8681
E02000564,1422,12418
E02000565,1656,8542
E02000566,674,8557
E02000567,1084,10439
E02000568,1791,11342
E02000569,1130,9943
E02000570,505,8286
E02000571,1046,8923
E02000572,1561,8604
E02000573,846,10313
E02000574,744,7833
E02000575,1163,11312
E02000576,1622,10675
E02000577,1581,7711
E02000578,1082,6004
E02000579,1344,8993
E02000580,1146,7895
E02000581,1395,7392
E02000582,273,6547
E02000583,420,6431
E02000584,287,7173
E02000585,533,8089
E02000586,99,6476
E02000587,159,6493
E02000588,99,5984
E02000589,349,7247
E02000590,394,5975
E02000591,483,6210
E02000592,103,5760
E02000593,243,7393
E02000594,263,6488
E02000595,190,6164
E02000596,141,6617
E02000597,696,6335
E02000598,133,8097
E02000599,212,7012
E02000600,290,8359
E02000601,276,11903
E02000602,598,10313
E02000603,377,8634
E02000604,206,9239
E02000605,154,8493
E02000606,242,10561
E02000607,229,6790
E02000608,185,7200
E02000609,209,7629
E02000610,240,7954
E02000611,114,7439
E02000612,160,8256
E02000613,225,8096
E02000614,381,9294
E02000615,161,7881
E02000616,124,6060
E02000617,223,8865
E02000619,2753,9101
E02000620,2322,9845
E02000621,2181,12522
E02000622,1932,8406
E02000623,2446,7858
E02000624,2929,9633
E02000625,3012,9300
E02000626,3762,8361
E02000627,2728,9552
E02000628,3992,10784
E02000629,1542,9118
E02000630,1033,7539
E02000631,2109,9528
E02000632,1500,9585
E02000633,3218,9164
E02000634,1611,6773
E02000635,2484,9811
E02000636,680,7717
E02000637,1428,8403
E02000638,2781,10256
E02000639,2644,8318
E02000640,1247,9296
E02000641,3689,8629
E02000642,2141,9812
E02000643,2004,9377
E02000644,1608,8518
E02000645,1903,9534
E02000646,1076,9497
E02000647,1622,8593
E02000648,2778,7823
E02000649,2155,12479
E02000650,1993,7662
E02000651,1747,8739
E02000652,1852,7559
E02000653,3518,12605
E02000654,3547,8792
E02000655,3528,10285
E02000657,2742,9908
E02000658,2232,8620
E02000659,1572,8062
E02000660,1644,8205
E02000661,807,6498
E02000662,2792,8298
E02000663,1584,6798
E02000665,1478,8158
E02000666,1572,7188
E02000667,1239,6686
E02000668,1061,6862
E02000669,1828,7972
E02000670,2530,6707
E02000671,1667,8737
E02000672,2906,10272
E02000673,1291,8142
E02000674,2649,8454
E02000675,1721,8530
E02000676,1633,7820
E02000677,2306,7210
E02000678,2539,6960
E02000679,2027,8133
E02000680,1752,7036
E02000681,2835,8474
E02000682,3267,8933
E02000683,1955,6767
E02000685,2092,8131
E02000686,2889,7537
E02000687,2145,8266
E02000689,329,9057
E02000690,90,5524
E02000691,343,7358
E02000692,168,7656
E02000693,781,9849
E02000694,407,9103
E02000695,1405,8643
E02000696,1149,8634
E02000697,236,8725
E02000698,200,8235
E02000699,159,8208
E02000700,1472,8665
E02000701,1518,9011
E02000702,2467,9322
E02000703,329,7964
E02000704,486,8600
E02000705,2094,9328
E02000706,2220,10035
E02000707,2922,8302
E02000708,361,8885
E02000709,308,7980
E02000710,1356,9184
E02000711,705,9445
E02000712,1038,9670
E02000713,343,7805
E02000714,1638,7709
E02000715,1373,7299
E02000716,1043,7351
E02000717,1048,8358
E02000718,1570,7404
E02000719,1673,8074
E02000720,936,7492
E02000721,1153,9545
E02000722,1506,8140
E02000723,760,11196
E02000724,1238,10030
E02000725,2062,9987
E02000727,814,8521
E02000728,451,8523
E02000729,1361,7327
E02000730,742,9933
E02000731,726,9966
E02000732,1486,8902
E02000733,2558,10095
E02000734,1776,7302
E02000735,1400,8612
E02000736,1442,9204
E02000737,1544,10383
E02000738,1080,9581
E02000739,1723,7724
E02000740,1735,6770
E02000741,1495,8245
E02000742,1612,8704
E02000743,2894,10282
E02000744,1838,9178
E02000745,1850,8597
E02000746,1953,9428
E02000747,2708,13097
E02000748,1062,6272
E02000749,2940,9552
E02000751,566,11161
E02000752,1024,8782
E02000753,677,6919
E02000754,530,6768
E02000755,461,5484
E02000756,1116,14593
E02000757,736,12391
E02000758,663,6886
E02000759,1384,13086
E02000760,701,7535
E02000762,339,6622
E02000763,622,8018
E02000764,576,12306
E02000765,272,7523
E02000767,495,8624
E02000768,320,5791
E02000770,619,8124
E02000772,868,8382
E02000773,1195,10737
E02000774,571,8109
E02000776,633,7041
E02000777,445,6000
E02000779,771,8418
E02000781,1163,16286
E02000782,1574,11490
E02000783,1027,7395
E02000784,188,10135
E02000785,108,9717
E02000786,234,11373
E02000787,318,12086
E02000788,97,9096
E02000789,87,6304
E02000790,63,6586
E02000791,86,6473
E02000792,91,7146
E02000793,205,8107
E02000794,109,7013
E02000795,76,6927
E02000796,492,11086
E02000797,148,7869
E02000798,231,11309
E02000799,106,6603
E02000800,125,5412
E02000801,91,7111
E02000802,100,7024
E02000803,300,9719
E02000804,90,7148
E02000805,189,10751
E02000806,156,10298
E02000807,630,8230
E02000808,1317,10170
E02000810,2621,11895
E02000812,2613,10788
E02000813,2174,10226
E02000814,1256,10293
E02000815,1433,7609
E02000816,2043,9610
E02000817,1734,6818
E02000818,2471,9789
E02000819,2692,8498
E02000820,2447,9246
E02000821,3618,9356
E02000822,2460,6720
E02000823,2772,8686
E02000824,4836,9902
E02000825,5027,10225
E02000826,3358,9885
E02000827,4363,11313
E02000828,3494,8817
E02000829,3824,10925
E02000830,1703,8884
E02000831,2161,9353
E02000832,3357,9689
E02000833,2460,7485
E02000834,1162,9385
E02000835,1603,7680
E02000836,903,8301
E02000837,438,8562
E02000838,1439,9496
E02000839,1686,8481
E02000840,819,9317
E02000841,714,9189
E02000842,380,8280
E02000843,752,9475
E02000844,673,8655
E02000845,293,9421
E02000846,385,7617
E02000847,167,9421
E02000848,223,8139
E02000849,568,8177
E02000850,978,10839
E02000851,975,11580
E02000852,406,8145
E02000853,372,8173
E02000854,275,7613
E02000855,157,8205
E02000856,656,9329
E02000857,575,8998
E02000858,1001,8571
E02000859,498,8485
E02000860,612,8788
E02000861,279,7775
E02000863,466,6735
E02000864,1073,11264
E02000865,621,7959
E02000866,558,10643
E02000867,914,11329
E02000868,411,7197
E02000869,442,5931
E02000870,453,6368
E02000871,1261,11515
E02000872,492,8145
E02000873,1017,9852
E02000874,532,7494
E02000875,1436,13572
E02000876,380,7273
E02000877,1229,13807
E02000878,488,10432
E02000879,449,8340
E02000880,427,6514
E02000881,1314,10832
E02000882,887,11507
E02000883,1009,9287
E02000884,568,12764
E02000885,463,7055
E02000886,651,9594
E02000887,885,10803
E02000888,545,8621
E02000889,362,8965
E02000890,116,5815
E02000893,451,7413
E02000894,572,11006
E02000895,973,8371
E02000896,617,9331
E02000897,1066,8569
E02000898,924,8014
E02000899,1134,8813
E02000900,1670,8973
E02000901,1023,10493
E02000902,1673,9961
E02000903,1859,10275
E02000904,1355,8422
E02000905,1396,10472
E02000906,1294,9655
E02000907,2645,10581
E02000908,1985,12905
E02000909,1203,9246
E02000910,1143,11430
E02000911,1577,12966
E02000912,1421,9742
E02000913,1211,9643
E02000914,2267,11800
E02000915,1029,8110
E02000916,1880,10564
E02000917,1376,9588
E02000918,1309,9324
E02000919,1075,9235
E02000920,2118,10298
E02000921,2601,11198
E02000922,1825,10463
E02000923,626,7527
E02000925,1743,7900
E02000926,1222,11641
E02000927,990,7098
E02000928,245,8353
